X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-3.157238,47.359295,0,0,72,30,2023/05/18 19:53:38+02,,,,,,,,,,,,,,,,,,,,,
-3.157194,47.359524,0,0,73,29,2023/05/18 19:53:19+02,,,,,,,,,,,,,,,,,,,,,
-3.157213,47.359759,0,0,74,28,2023/05/18 19:52:58+02,,,,,,,,,,,,,,,,,,,,,
-3.157273,47.359982,0,0,75,28,2023/05/18 19:52:41+02,,,,,,,,,,,,,,,,,,,,,
-3.157285,47.360216,0,0,76,27,2023/05/18 19:52:22+02,,,,,,,,,,,,,,,,,,,,,
-3.157345,47.360437,0,0,77,28,2023/05/18 19:52:04+02,,,,,,,,,,,,,,,,,,,,,
-3.157383,47.36067,0,0,78,28,2023/05/18 19:51:42+02,,,,,,,,,,,,,,,,,,,,,
-3.157406,47.360905,0,0,79,28,2023/05/18 19:51:08+02,,,,,,,,,,,,,,,,,,,,,
-3.15749,47.36113,0,0,80,28,2023/05/18 19:49:04+02,,,,,,,,,,,,,,,,,,,,,
-3.15753,47.361362,0,0,81,27,2023/05/18 19:48:44+02,,,,,,,,,,,,,,,,,,,,,
-3.157575,47.36159,0,0,82,26,2023/05/18 19:48:35+02,,,,,,,,,,,,,,,,,,,,,
-3.157575,47.36159,0,0,83,26,2023/05/18 19:48:26+02,,,,,,,,,,,,,,,,,,,,,
-3.157248,47.361642,0,0,84,25,2023/05/18 19:47:51+02,,,,,,,,,,,,,,,,,,,,,
-3.156988,47.361494,0,0,85,24,2023/05/18 19:47:28+02,,,,,,,,,,,,,,,,,,,,,
-3.156716,47.361357,0,0,86,22,2023/05/18 19:46:45+02,,,,,,,,,,,,,,,,,,,,,
-3.156515,47.361294,0,0,87,19,,,,,,,,,,,,,,,,,,,,,,
-3.156301,47.361233,0,0,88,14,2023/05/18 19:46:24+02,,,,,,,,,,,,,,,,,,,,,
-3.156176,47.36121,0,0,89,11,,,,,,,,,,,,,,,,,,,,,,
-3.156057,47.36125,0,0,90,9,2023/05/18 19:45:57+02,,,,,,,,,,,,,,,,,,,,,
-3.155835,47.361505,0,0,91,7,2023/05/18 19:45:39+02,,,,,,,,,,,,,,,,,,,,,
-3.155879,47.361631,0,0,92,9,,,,,,,,,,,,,,,,,,,,,,
-3.155985,47.361719,0,0,93,11,2023/05/18 19:45:23+02,,,,,,,,,,,,,,,,,,,,,
-3.15627,47.361851,0,0,94,16,2023/05/18 19:44:52+02,,,,,,,,,,,,,,,,,,,,,
-3.156465,47.362047,0,0,95,18,2023/05/18 19:44:30+02,,,,,,,,,,,,,,,,,,,,,
-3.156521,47.362269,0,0,96,18,2023/05/18 19:44:15+02,,,,,,,,,,,,,,,,,,,,,
-3.156421,47.362484,0,0,97,16,2023/05/18 19:43:55+02,,,,,,,,,,,,,,,,,,,,,
-3.156464,47.36258,0,0,98,16,,,,,,,,,,,,,,,,,,,,,,
-3.15632,47.362714,0,0,99,12,2023/05/18 19:43:35+02,,,,,,,,,,,,,,,,,,,,,
-3.156367,47.362822,0,0,100,12,,,,,,,,,,,,,,,,,,,,,,
-3.156531,47.362879,0,0,101,14,2023/05/18 19:43:16+02,,,,,,,,,,,,,,,,,,,,,
